Test Case ID,Test Case Name,Test Case Description,Test Design Step,Test Design Description,Expected Result
PR_001,TC01_Verify options in Patient Category dropdown,Verify options in Patient Category dropdown,step 1,open the browser,browser should be opened
,,,step 2,enter kosmik url     (note: https://www.kosmiktechnologies.com/seleniumLiveProject/kosmik-hms/master.php),user should navigate to kosmik login page
,,,step 3,Validate Kosmik login Page,User should see login section in the middle of the page
,,,step 4,Enter valid Username and Password in login page text box,User should naviagte to Kosmik Home Page and see below fields in the left corner Registration ADT Feedback Help Line
,,,step 5,Click on Registraion link in home page,User should Naviagte to Permanent Registration Page
,,,step 6,Valiadte Permanent Registration Page,"User should see below fields Patient Category*            
 Title,
 First Name,        
 Middle Name, 
 Last Name ,
 DOB ,
 Age ,
 Gender, 
 Martial Status 
 Religion ,
 Primary Language, 
 Relation ,
 Mother's Name, 
 Patient Identifier, 
 PAN/Voter ID/Aadhar, 
Nos ,
 Nationality, 
 VIP ,
 Education, 
 Occupation, 
 Blood Group, 
 Citizenship ,
 Senior Citizen Proof, 
Submitted,
 Permanent Address-
 Address1,
 Phone,
 Email ,
 Country, 
Current Address - 
 Address2 ,
 Pin or Zip,"
,,,step 7,"select patient category dropdown (note: options: Pay Patient, Self, Staff, Insurance, Staff Dependent appear)",All values should be visible and selectable
PR_002,TC02_Verify Title dropdown in permanent registration page,Verify Title dropdown in permanent registration page,step 1,open the browser,browser should be opened
,,,step 2,enter kosmik url     (note: https://www.kosmiktechnologies.com/seleniumLiveProject/kosmik-hms/master.php),user should navigate to kosmik login page
,,,step 3,Validate Kosmik login Page,User should see login section in the middle of the page
,,,step 4,Enter valid Username and Password in login page text box,User should naviagte to Kosmik Home Page and see below fields in the left corner Registration ADT Feedback Help Line
,,,step 5,Click on Registraion link in home page,User should Naviagte to Permanent Registration Page
,,,step 6,Valiadte Permanent Registration Page,"User should see below fields Patient Category*            
 Title,
 First Name,        
 Middle Name, 
 Last Name ,
 DOB ,
 Age ,
 Gender, 
 Martial Status 
 Religion ,
 Primary Language, 
 Relation ,
 Mother's Name, 
 Patient Identifier, 
 PAN/Voter ID/Aadhar, 
Nos ,
 Nationality, 
 VIP ,
 Education, 
 Occupation, 
 Blood Group, 
 Citizenship ,
 Senior Citizen Proof, 
Submitted,
 Permanent Address-
 Address1,
 Phone,
 Email ,
 Country, 
Current Address - 
 Address2 ,
 Pin or Zip,"
,,,step 7,"select patient category dropdown (note: options: Pay Patient, Self, Staff, Insurance, Staff Dependent appear)",All values should be visible and selectable
,,,step 8,"select Title dropdown   (note: options: Select, Mr., Ms., Others)",user should be able to see and select
PR_003,TC03_Verify First Name accepts valid input in permanent registration page,Verify First Name accepts valid input in permanent registration page,step 1,open the browser,browser should be opened
,,,step 2,enter kosmik url     (note: https://www.kosmiktechnologies.com/seleniumLiveProject/kosmik-hms/master.php),user should navigate to kosmik login page
,,,step 3,Validate Kosmik login Page,User should see login section in the middle of the page
,,,step 4,Enter valid Username and Password in login page text box,User should naviagte to Kosmik Home Page and see below fields in the left corner Registration ADT Feedback Help Line
,,,step 5,Click on Registraion link in home page,User should Naviagte to Permanent Registration Page
